,state,startdate,enddate,pollster,grade,samplesize,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,pop_type__a,pop_type__lv,pop_type__rv,pop_type__v
0,U.S.,2016-11-03,2016-11-06,ABC News/Washington Post,1.0,2239.5,47.0,43.0,4.0,0.0,45.20163,41.7243,4.626221,0.0,0,1,0,0
1,U.S.,2016-11-01,2016-11-07,Google Consumer Surveys,0.5555555555555556,26749.5,38.03,35.69,5.46,0.0,43.34557,41.21439,5.175792,0.0,0,1,0,0
2,U.S.,2016-11-02,2016-11-06,Ipsos,0.7777777777777777,2183.0,42.0,39.0,6.0,0.0,42.02638,38.8162,6.844734,0.0,0,1,0,0
3,U.S.,2016-11-04,2016-11-07,YouGov,0.5555555555555556,3690.5,45.0,41.0,5.0,0.0,45.65676,40.92004,6.069454,0.0,0,1,0,0
4,U.S.,2016-11-03,2016-11-06,Gravis Marketing,0.4444444444444445,16220.0,47.0,43.0,3.0,0.0,46.84089,42.33184,3.726098,0.0,0,0,1,0
5,U.S.,2016-11-03,2016-11-06,Fox News/Anderson Robbins Research/Shaw & Company Research,0.8888888888888888,1290.0,48.0,44.0,3.0,0.0,49.02208,43.95631,3.057876,0.0,0,1,0,0
6,U.S.,2016-11-02,2016-11-06,CBS News/New York Times,0.7777777777777777,1415.0,45.0,41.0,5.0,0.0,45.11649,40.92722,4.341786,0.0,0,1,0,0
7,U.S.,2016-11-03,2016-11-05,NBC News/Wall Street Journal,0.7777777777777777,1290.0,44.0,40.0,6.0,0.0,43.58576,40.77325,5.365788,0.0,0,1,0,0
8,New Mexico,2016-11-06,2016-11-06,Zia Poll,0.3333333333333333,8592.5,46.0,44.0,6.0,0.0,44.82594,41.59978,7.870127,0.0,0,1,0,0
9,U.S.,2016-11-04,2016-11-07,IBD/TIPP,0.7777777777777777,1116.0,41.2,42.7,7.1,0.0,42.92745,42.23545,6.316175,0.0,0,1,0,0
10,U.S.,2016-11-04,2016-11-06,Selzer & Company,1.0,802.0,44.0,41.0,4.0,0.0,44.21714,40.57082,4.068708,0.0,0,1,0,0
11,U.S.,2016-11-01,2016-11-04,Angus Reid Global,0.7777777777777777,1157.5,48.0,44.0,6.0,0.0,47.57171,43.68125,5.556625,0.0,0,1,0,0
12,U.S.,2016-11-03,2016-11-06,Monmouth University,1.0,738.0,50.0,44.0,4.0,0.0,48.86765,43.396,4.8386,0.0,0,1,0,0
