,state,startdate,enddate,pollster,grade,samplesize,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,pop_type__a,pop_type__lv,pop_type__rv,pop_type__v,poll_wt,duration
0,U.S.,2016-11-03,2016-11-06,ABC News/Washington Post,1,2239.5,47,43,4,0,45.20163,41.7243,4.626221,0,0,1,0,0,8.720654,3
1,U.S.,2016-11-01,2016-11-07,Google Consumer Surveys,0.555555556,26749.5,38.03,35.69,5.46,0,43.34557,41.21439,5.175792,0,0,1,0,0,7.628472,6
2,U.S.,2016-11-02,2016-11-06,Ipsos,0.777777778,2183,42,39,6,0,42.02638,38.8162,6.844734,0,0,1,0,0,6.424334,4
3,U.S.,2016-11-04,2016-11-07,YouGov,0.555555556,3690.5,45,41,5,0,45.65676,40.92004,6.069454,0,0,1,0,0,6.087135,3
4,U.S.,2016-11-03,2016-11-06,Gravis Marketing,0.444444444,16220,47,43,3,0,46.84089,42.33184,3.726098,0,0,0,1,0,5.316449,3
5,U.S.,2016-11-03,2016-11-06,Fox News/Anderson Robbins Research/Shaw & Company Research,0.888888889,1290,48,44,3,0,49.02208,43.95631,3.057876,0,0,1,0,0,5.218141,3
6,U.S.,2016-11-02,2016-11-06,CBS News/New York Times,0.777777778,1415,45,41,5,0,45.11649,40.92722,4.341786,0,0,1,0,0,4.881873,4
7,U.S.,2016-11-03,2016-11-05,NBC News/Wall Street Journal,0.777777778,1290,44,40,6,0,43.58576,40.77325,5.365788,0,0,1,0,0,4.836171,2
8,New Mexico,2016-11-06,2016-11-06,Zia Poll,0.333333333,8592.5,46,44,6,0,44.82594,41.59978,7.870127,0,0,1,0,0,4.609492,0
9,U.S.,2016-11-04,2016-11-07,IBD/TIPP,0.777777778,1116,41.2,42.7,7.1,0,42.92745,42.23545,6.316175,0,0,1,0,0,4.520075,3
10,U.S.,2016-11-04,2016-11-06,Selzer & Company,1,802,44,41,4,0,44.21714,40.57082,4.068708,0,0,1,0,0,4.150419,2
11,U.S.,2016-11-01,2016-11-04,Angus Reid Global,0.777777778,1157.5,48,44,6,0,47.57171,43.68125,5.556625,0,0,1,0,0,4.141083,3
12,U.S.,2016-11-03,2016-11-06,Monmouth University,1,738,50,44,4,0,48.86765,43.396,4.8386,0,0,1,0,0,3.965234,3
13,Virginia,2016-11-03,2016-11-04,Public Policy Polling,0.666666667,1226,48,43,1,0,47.43805,42.32751,2.207659,0,0,1,0,0,3.923524,1
14,U.S.,2016-11-01,2016-11-03,Marist College,0.888888889,956,44,43,6,0,42.83406,43.43819,4.780429,0,0,1,0,0,3.886329,2
15,Iowa,2016-11-01,2016-11-04,Selzer & Company,1,802,39,46,6,0,39.37561,45.66917,6.062713,0,0,1,0,0,3.842234,3
16,U.S.,2016-11-05,2016-11-07,The Times-Picayune/Lucid,0.333333333,2508.5,45,40,5,0,45.13966,42.26495,3.679914,0,0,1,0,0,3.792648,2
17,Wisconsin,2016-10-26,2016-10-31,Marquette University,0.888888889,1251,46,40,4,0,46.10344,40.97982,2.897062,0,0,1,0,0,3.789957,5
18,North Carolina,2016-11-04,2016-11-06,Siena College,0.888888889,802,44,44,3,0,44.21875,45.0829,2.33525,0,0,1,0,0,3.774139,2
19,Georgia,2016-11-06,2016-11-06,Landmark Communications,0.555555556,1192,46,49,3,0,45.0647,48.80363,3.662548,0,0,1,0,0,3.752961,0
20,Florida,2016-11-03,2016-11-06,Quinnipiac University,0.777777778,875,46,45,2,0,46.44315,43.93999,2.09831,0,0,1,0,0,3.718829,3
21,North Carolina,2016-11-03,2016-11-06,Quinnipiac University,0.777777778,875,47,45,3,0,47.43742,43.93745,3.09831,0,0,1,0,0,3.677972,3
22,Virginia,2016-10-27,2016-10-30,ABC News/Washington Post,1,1041,48,42,6,0,46.39152,41.58078,6.088089,0,0,1,0,0,3.632387,3
23,U.S.,2016-11-01,2016-11-07,USC Dornsife/LA Times,0.333333333,2969,43.61,46.84,7.381739907,0,45.32156,43.38579,4.65976141,0,0,1,0,0,3.611297,6
24,Georgia,2016-11-03,2016-11-06,Gravis Marketing,0.444444444,2001,44,48,3,0,43.83075,47.32734,3.726098,0,0,0,1,0,3.572489,3
25,Oregon,2016-11-03,2016-11-06,Gravis Marketing,0.444444444,1949,44,40,6,0,43.84735,39.33472,6.726098,0,0,0,1,0,3.548932,3
26,U.S.,2016-11-01,2016-11-05,"RKM Research and Communications, Inc.",0.666666667,1000,47.6,44.4,4.3,0,47.63973,43.1608,4.761112,0,0,1,0,0,3.472548,4
27,Ohio,2016-11-03,2016-11-06,Gravis Marketing,0.444444444,1799,42,48,4,0,41.84073,47.33178,4.726098,0,0,0,1,0,3.417108,3
28,South Carolina,2016-11-03,2016-11-06,Gravis Marketing,0.444444444,1747.5,43,48,3,0,42.83107,47.32748,3.726098,0,0,0,1,0,3.393813,3
29,Ohio,2016-11-02,2016-11-04,YouGov,0.555555556,1192,45,46,7.381739907,0,44.93624,45.09646,4.65976141,0,0,1,0,0,3.384065,2
30,Virginia,2016-11-01,2016-11-02,Remington,0.333333333,3021.5,46,44,7.381739907,0,45.27399,41.91459,4.65976141,0,0,1,0,0,3.373787,1
31,New York,2016-11-03,2016-11-06,Gravis Marketing,0.444444444,1696.5,55,36,2,0,54.84194,35.33231,2.726098,0,0,0,1,0,3.337564,3
32,Michigan,2016-11-03,2016-11-04,Public Policy Polling,0.666666667,956,46,41,6,0,45.44545,40.33095,7.207659,0,0,1,0,0,3.331139,1
33,North Carolina,2016-10-31,2016-11-01,Public Policy Polling,0.666666667,1157.5,49,47,7.381739907,0,47.90348,45.94813,4.65976141,0,0,1,0,0,3.322677,1
34,Wisconsin,2016-11-01,2016-11-02,Remington,0.333333333,2729,49,41,7.381739907,0,48.22713,38.86464,4.65976141,0,0,1,0,0,3.256398,1
35,Pennsylvania,2016-11-01,2016-11-02,Remington,0.333333333,2675.5,46,45,7.381739907,0,45.30896,42.94988,4.65976141,0,0,1,0,0,3.245717,1
36,Virginia,2016-11-01,2016-11-06,Christopher Newport University,0.444444444,1192,48,42,3,0,48.93321,43.6221,1.996604,0,0,1,0,0,3.233819,5
37,North Carolina,2016-11-01,2016-11-02,Remington,0.333333333,2615,45,48,7.381739907,0,44.39882,46.0411,4.65976141,0,0,1,0,0,3.219699,1
38,Ohio,2016-11-01,2016-11-02,Remington,0.333333333,2560.5,44,45,7.381739907,0,43.03321,42.67245,4.65976141,0,0,1,0,0,3.207606,1
39,Georgia,2016-11-03,2016-11-05,YouGov,0.555555556,1000,43,49,4,0,43.80799,48.99024,5.169494,0,0,1,0,0,3.185894,2
40,Missouri,2016-10-31,2016-11-01,Public Policy Polling,0.666666667,1083,37,50,4,0,36.55124,49.59908,5.028656,0,0,1,0,0,3.173688,1
41,New Hampshire,2016-11-04,2016-11-05,Emerson College,0.555555556,1000,45.4,43.8,4.5,0,45.37532,41.71392,4.769466,0,0,1,0,0,3.168547,1
42,Arizona,2016-11-03,2016-11-06,Gravis Marketing,0.444444444,1463,43,45,3,0,42.84287,44.33273,3.726098,0,0,0,1,0,3.133701,3
43,U.S.,2016-10-31,2016-11-06,CVOTER International,0.333333333,1611,48.91,46.13,7.381739907,0,47.01806,42.04561,4.65976141,0,0,1,0,0,3.132291,6
44,Florida,2016-11-01,2016-11-02,Remington,0.333333333,2362,45,48,7.381739907,0,44.85722,46.49677,4.65976141,0,0,1,0,0,3.123244,1
45,Pennsylvania,2016-10-31,2016-11-01,Public Policy Polling,0.666666667,1041,48,44,7.381739907,0,46.81404,42.86101,4.65976141,0,0,1,0,0,3.114036,1
46,U.S.,2016-11-04,2016-11-05,Morning Consult,0.333333333,1463,45,42,8,0,46.2831,43.27167,6.904304,0,0,1,0,0,3.083018,1
47,Pennsylvania,2016-11-03,2016-11-05,YouGov,0.555555556,915,45,43,4,0,45.82043,42.99602,5.169494,0,0,1,0,0,3.069021,2
48,Nevada,2016-11-03,2016-11-06,Gravis Marketing,0.444444444,1157.5,45,43,4,0,43.52706,40.25877,5.414673,0,0,1,0,0,3.059317,3
49,Colorado,2016-11-03,2016-11-06,Gravis Marketing,0.444444444,1367,44,43,5,0,43.84619,42.3342,5.726098,0,0,0,1,0,3.058729,3
50,Florida,2016-11-02,2016-11-04,YouGov,0.555555556,1192,45,45,7.381739907,0,47.07455,46.99468,4.65976141,0,0,0,1,0,3.053852,2
51,U.S.,2016-10-31,2016-11-06,SurveyMonkey,0.111111111,70194,47,41,6,0,45.65592,40.37888,3.677361,0,0,1,0,0,3.020698,6
52,Wisconsin,2016-11-01,2016-11-02,Clarity Campaign Labs,0.555555556,1116,47,43,4,0,47.83631,42.94844,4.024297,0,0,1,0,0,2.987877,1
53,Ohio,2016-11-04,2016-11-05,Emerson College,0.555555556,915,38.9,45.6,6.8,0,38.85865,43.50651,7.069466,0,0,1,0,0,2.984264,1
54,New Hampshire,2016-11-03,2016-11-06,University of New Hampshire,0.666666667,702,49,38,6,0,48.71549,39.2107,6.444664,0,0,1,0,0,2.974129,3
55,Pennsylvania,2016-11-01,2016-11-04,Clarity Campaign Labs,0.555555556,1041,47,43,4,0,47.77524,42.83232,4.096484,0,0,1,0,0,2.97223,3
56,U.S.,2016-10-20,2016-10-25,Pew Research Center,0.666666667,2127,46,40,6,0,45.82386,42.70839,3.531025,0,0,0,1,0,2.969116,5
57,Florida,2016-10-20,2016-10-24,SurveyUSA,0.888888889,1251,48,45,2,0,46.74555,45.86589,1.52073,0,0,1,0,0,2.954021,4
58,California,2016-10-25,2016-10-31,YouGov,0.555555556,1500,53,33,4,0,53.93975,34.06845,4.511946,0,0,1,0,0,2.951676,6
59,U.S.,2016-11-02,2016-11-06,Rasmussen Reports/Pulse Opinion Research,0.333333333,1500,45,43,4,0,45.56041,43.13745,4.418502,0,0,1,0,0,2.951606,4
60,Colorado,2016-11-01,2016-11-02,Remington,0.333333333,1887,42,41,7.381739907,0,40.24119,37.87783,4.65976141,0,0,1,0,0,2.934303,1
61,New York,2016-11-03,2016-11-04,Siena College,0.888888889,618,51,34,5,0,51.30942,35.12664,4.344325,0,0,1,0,0,2.903992,1
62,Nevada,2016-11-01,2016-11-02,Remington,0.333333333,1799,45,46,7.381739907,0,43.87231,43.51139,4.65976141,0,0,1,0,0,2.898775,1
63,Pennsylvania,2016-11-03,2016-11-06,Gravis Marketing,0.444444444,1226,46,40,7,0,45.83721,39.33021,7.726098,0,0,0,1,0,2.885523,3
64,Arizona,2016-10-30,2016-11-01,Marist College,0.888888889,702,40,45,9,0,38.85863,45.72376,7.587354,0,0,1,0,0,2.859202,2
65,Missouri,2016-11-01,2016-11-02,Clarity Campaign Labs,0.555555556,1041,38,54,7.381739907,0,37.65693,52.77196,4.65976141,0,0,1,0,0,2.852793,1
66,Wisconsin,2016-11-03,2016-11-06,Gravis Marketing,0.444444444,1192,47,44,3,0,46.84436,43.33339,3.726098,0,0,0,1,0,2.842833,3
67,Washington,2016-10-31,2016-11-02,SurveyUSA,0.888888889,677.5,50,38,4,0,48.87802,36.95385,4.691579,0,0,1,0,0,2.811729,2
68,Virginia,2016-11-01,2016-11-04,Gravis Marketing,0.444444444,1367,47,42,4,0,46.97759,41.41807,4.720103,0,0,0,1,0,2.810909,3
69,Wisconsin,2016-10-31,2016-11-01,Public Policy Polling,0.666666667,875,48,41,7.381739907,0,46.73323,39.78602,4.65976141,0,0,1,0,0,2.805241,1
70,California,2016-10-22,2016-10-30,Greenberg Quinlan Rosner/American Viewpoint,0.666666667,1367,54,30,4,0,54.28659,31.63001,3.403508,0,0,1,0,0,2.797422,8
71,Georgia,2016-10-30,2016-11-01,Marist College,0.888888889,702,44,45,8,0,42.81871,45.65459,6.587354,0,0,1,0,0,2.795523,2
