,Unnamed: 0,state,startdate,enddate,pollster,grade,samplesize,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,pop_type__a,pop_type__lv,pop_type__rv,pop_type__v,poll_wt,duration
0,0,U.S.,2016-11-03,2016-11-06,ABC News/Washington Post,1.0,2239.5,47.0,43.0,4.0,0.0,45.20163,41.7243,4.626221,0.0,0,1,0,0,8.720654,3
1,1,U.S.,2016-11-01,2016-11-07,Google Consumer Surveys,0.555555556,26749.5,38.03,35.69,5.46,0.0,43.34557,41.21439,5.175792,0.0,0,1,0,0,7.628472,6
2,2,U.S.,2016-11-02,2016-11-06,Ipsos,0.777777778,2183.0,42.0,39.0,6.0,0.0,42.02638,38.8162,6.844734,0.0,0,1,0,0,6.424334,4
3,3,U.S.,2016-11-04,2016-11-07,YouGov,0.555555556,3690.5,45.0,41.0,5.0,0.0,45.65676,40.92004,6.069454,0.0,0,1,0,0,6.087135,3
4,4,U.S.,2016-11-03,2016-11-06,Gravis Marketing,0.444444444,16220.0,47.0,43.0,3.0,0.0,46.84089,42.33184,3.726098,0.0,0,0,1,0,5.316449,3
5,5,U.S.,2016-11-03,2016-11-06,Fox News/Anderson Robbins Research/Shaw & Company Research,0.888888889,1290.0,48.0,44.0,3.0,0.0,49.02208,43.95631,3.057876,0.0,0,1,0,0,5.218141,3
6,6,U.S.,2016-11-02,2016-11-06,CBS News/New York Times,0.777777778,1415.0,45.0,41.0,5.0,0.0,45.11649,40.92722,4.341786,0.0,0,1,0,0,4.881873,4
7,7,U.S.,2016-11-03,2016-11-05,NBC News/Wall Street Journal,0.777777778,1290.0,44.0,40.0,6.0,0.0,43.58576,40.77325,5.365788,0.0,0,1,0,0,4.836171,2
8,8,New Mexico,2016-11-06,2016-11-06,Zia Poll,0.333333333,8592.5,46.0,44.0,6.0,0.0,44.82594,41.59978,7.870127,0.0,0,1,0,0,4.609492,0
9,9,U.S.,2016-11-04,2016-11-07,IBD/TIPP,0.777777778,1116.0,41.2,42.7,7.1,0.0,42.92745,42.23545,6.316175,0.0,0,1,0,0,4.520075,3
10,10,U.S.,2016-11-04,2016-11-06,Selzer & Company,1.0,802.0,44.0,41.0,4.0,0.0,44.21714,40.57082,4.068708,0.0,0,1,0,0,4.150419,2
11,11,U.S.,2016-11-01,2016-11-04,Angus Reid Global,0.777777778,1157.5,48.0,44.0,6.0,0.0,47.57171,43.68125,5.556625,0.0,0,1,0,0,4.141083,3
12,12,U.S.,2016-11-03,2016-11-06,Monmouth University,1.0,738.0,50.0,44.0,4.0,0.0,48.86765,43.396,4.8386,0.0,0,1,0,0,3.965234,3
13,13,Virginia,2016-11-03,2016-11-04,Public Policy Polling,0.666666667,1226.0,48.0,43.0,1.0,0.0,47.43805,42.32751,2.207659,0.0,0,1,0,0,3.923524,1
14,14,U.S.,2016-11-01,2016-11-03,Marist College,0.888888889,956.0,44.0,43.0,6.0,0.0,42.83406,43.43819,4.780429,0.0,0,1,0,0,3.886329,2
15,15,Iowa,2016-11-01,2016-11-04,Selzer & Company,1.0,802.0,39.0,46.0,6.0,0.0,39.37561,45.66917,6.062713,0.0,0,1,0,0,3.842234,3
16,16,U.S.,2016-11-05,2016-11-07,The Times-Picayune/Lucid,0.333333333,2508.5,45.0,40.0,5.0,0.0,45.13966,42.26495,3.679914,0.0,0,1,0,0,3.792648,2
17,17,Wisconsin,2016-10-26,2016-10-31,Marquette University,0.888888889,1251.0,46.0,40.0,4.0,0.0,46.10344,40.97982,2.897062,0.0,0,1,0,0,3.789957,5
18,18,North Carolina,2016-11-04,2016-11-06,Siena College,0.888888889,802.0,44.0,44.0,3.0,0.0,44.21875,45.0829,2.33525,0.0,0,1,0,0,3.774139,2
19,19,Georgia,2016-11-06,2016-11-06,Landmark Communications,0.555555556,1192.0,46.0,49.0,3.0,0.0,45.0647,48.80363,3.662548,0.0,0,1,0,0,3.752961,0
20,20,Florida,2016-11-03,2016-11-06,Quinnipiac University,0.777777778,875.0,46.0,45.0,2.0,0.0,46.44315,43.93999,2.09831,0.0,0,1,0,0,3.718829,3
21,21,North Carolina,2016-11-03,2016-11-06,Quinnipiac University,0.777777778,875.0,47.0,45.0,3.0,0.0,47.43742,43.93745,3.09831,0.0,0,1,0,0,3.677972,3
22,22,Virginia,2016-10-27,2016-10-30,ABC News/Washington Post,1.0,1041.0,48.0,42.0,6.0,0.0,46.39152,41.58078,6.088089,0.0,0,1,0,0,3.632387,3
23,23,U.S.,2016-11-01,2016-11-07,USC Dornsife/LA Times,0.333333333,2969.0,43.61,46.84,7.381739907,0.0,45.32156,43.38579,4.65976141,0.0,0,1,0,0,3.611297,6
24,24,Georgia,2016-11-03,2016-11-06,Gravis Marketing,0.444444444,2001.0,44.0,48.0,3.0,0.0,43.83075,47.32734,3.726098,0.0,0,0,1,0,3.572489,3
25,25,Oregon,2016-11-03,2016-11-06,Gravis Marketing,0.444444444,1949.0,44.0,40.0,6.0,0.0,43.84735,39.33472,6.726098,0.0,0,0,1,0,3.548932,3
26,26,U.S.,2016-11-01,2016-11-05,"RKM Research and Communications, Inc.",0.666666667,1000.0,47.6,44.4,4.3,0.0,47.63973,43.1608,4.761112,0.0,0,1,0,0,3.472548,4
27,27,Ohio,2016-11-03,2016-11-06,Gravis Marketing,0.444444444,1799.0,42.0,48.0,4.0,0.0,41.84073,47.33178,4.726098,0.0,0,0,1,0,3.417108,3
28,28,South Carolina,2016-11-03,2016-11-06,Gravis Marketing,0.444444444,1747.5,43.0,48.0,3.0,0.0,42.83107,47.32748,3.726098,0.0,0,0,1,0,3.393813,3
